CURTIS  MORGAN
CUSACK   CYRIL
CUSAK JOHN
CYNTHIA  GIBB
CYNTHIA  KHAN
CYNTHIA  PRESTON
CYNTHIA  ROTHROCK
CYNTHIA   STEVENSON
CYRIL CUSACK (CUSACK   CYRIL)
CYRIL  LECOMTE 
CYRYLLE RAFAELLI (RAFAELLI  CYRYLLE)
CYRILLE THOUVENIN



DAISUKE  KATO
DAKOTA  FANNING
DAL-SU  HO
DALE  ROBERTSON
DALLAS  ROBERTS
DAMIEN  RICHARSON
DAMON   MATT
DAMON  WAYANS (WAYANS DAMON) 
DAN AYKROYD
DAN  CHUPPONG
DAN  GAUTHIER 
DAN  SNOW
DAN  SOUTHWORTH
DANA  ANDREWS
DANA  ASHBROOK
DANE DEHAAN
DANIEL AUTEUIL
DANIEL BRUHL
DANIEL  CALTAGIRONE
DANIEL  CECCALDI
DANIEL CRAIG
DANIEL DAY LEWIS
DANIEL GELIN  (GELIN  DANIEL)
DANIEL  GILLIES
DANIEL  KRUSE  
DANIEL  PREVOST
DANIEL RADCLIFFE
DANIEL  RUSSO
DANIEL  SHERMAN
DANIEL  STERN
DANIEL VALENZUELA
DANIEL WU 
DANIELA ALONSO
DANIELLE DARRIEUX
DANIELLE  HARRIS
DANIELLE  LEBRUN					
DANIELLE  LOTTI
DANIELLE PANABAKER
DANY   DYER
DANY GLOVER
DANY  KAYE
DANY  KEOGH
DANY  TREJO 
DAPHNE  ZUNIGA
DARCY ROSE BYRNES
DAROUSSIN. JEAN PIERRE
DARREN  EWING 
DARRIN  DICKERSON
DARROW  IGUS
DARRY  COWL
DAVE  FOLEY
DAVIS  ALPAY
DAVID ARGUE
DAVID ARQUETTE
DAVID  BOWIE
DAVID  BRANDON
DAVID  CHISUM
DAVID  CHOKACHI
DAVID  CLENNON
DAVID  CROSS
DAVID  DELUISE
DAVID  DENCIK
DAVID DUCHOVNY
DAVID  FLYNN
DAVID  HASSELHOF
DAVID HEMMINGS
DAVID  HESS
DAVID HEWLETT
DAVID  JANSEN
DAVID KEITH  (KEITH  DAVID)
DAVID LAHAYE
DAVID  LEWIS
DAVID  MILLBERN
DAVID  MORRISSEY
DAVID MORSE
DAVID NIELSEN (NIELSEN  LESLIE  DAVID )
DAVID	NIVEN  (NIVEN  DAVID)
DAVID NO  (NO  DAVID )
DAVID OYELOWO (OYELOWO DAVID)
DAVID WARBECK
DAVID WARNER
DAVID  WU (WU DAVID)
DAVIES JEREMY
DAVINA  JOY
D B SWEENEY
DEAN  CAIN
DEAN  CAMERON
DEAN  COCHRAN
DEAN  JONES
DEAN  MAC  DERMOTT
DEAN  REDMAN
DEAN STOCKWELL
DEBBY  RYAN
DEBELLO  JAMES
DEBORAH  FRANCOIS
DEBORAH  KERR
DEBRA MAYER
DEBRA  PAGET
DEBRA WINGER
DEE WALLACE (STONE)
DE FUNES
DELPHINE SEYRIG
DEMI MOORE
DE NIRO    
DENIS  BOUTSIKARIS
DENIS PODALYDES  (PODALYDES  BRUNO ET DENIS)
DENIS  CHAN (kwok san)
DENIS CHRISTOPHER
DENIS  HOPPER
DENIS  LAVANT
DENIS O’KEEFE (O’KEEFE DENIS)
DENIS  QUAID
DENIS WEAVER
DENNIS  CUBIC
DENNIS  PRICE
DENZEL WASHINGTON
DEPARDIEU  JULIE
DEPP   JOHNNY	
DEREK RICHARDSON
DERRICK  DE MARNEY
DEUTSH  LORANT
DEV  PATEL
DEVIN  RATRAY
DEVIN  REEVE   
DEVON SAWA
DIANA  FLAHERTY
DIANA  MULDAUR
DIANA  PENALVER
DIANA  SCARWID
DIANE  BAKER
DIANE  KEATON
DIANE  KRUGER
DIANE  LANE
DIANE  SALINGER
DICK MILLER
DICK POWELL
DICAPRIO
DIDIER  BEZACE
DIDIER  FLAMAND
DIDIER  PAIN
DIEDRICH  BADER
DIEGO LUNA
DIEUDONNE
DMITRY  KUBASOV	
DINA  MEYER
DINARA  DRUKAROVA
DIOGO DORIA
DIORA   BAIRD
DIRK  MARTENS
DIVINE
DJAMEL DEBOUZZE
DO-YEON  JEON
DOLPH LUNDGREN
DOMINIC  COOPER
DOMINIQUE  BLANC
DOMINIQUE  PINON
DOMMIZIANO  ARCHANGELI
DOMINIC   PURCELL
DON (the dragon) WILSON
DON  AMECHE
DON  JOHNSON
DON  MC  MANUS
DON  SCRIBNER
DONADIEU  BERNARD PIERRE
DONALD  CRISP
DONALD PLEASANCE
DONALD SUTHERLAND
DONG WOOK KIM
DONNIE YEN
